Time (min),Force (N),Position (mm)
3.04,322,7.7206
3.05,322,7.7298
3.05,322,7.7384
3.05,322,7.7473
3.06,322,7.7563
3.06,322,7.7657
3.06,322,7.7745
3.07,322,7.7832
3.07,322,7.7922
3.07,323,7.8014
3.08,322,7.8105
3.08,322,7.8192
3.08,323,7.8281
3.09,322,7.8372
3.09,323,7.8466
3.10,322,7.8553
3.10,323,7.8640
3.10,322,7.8730
3.11,323,7.8823
3.11,323,7.8914
3.11,323,7.9000
3.12,323,7.9089
3.12,323,7.9179
3.12,323,7.9274
3.13,323,7.9361
3.13,323,7.9448
3.13,323,7.9538
3.14,323,7.9631
3.14,323,7.9722
3.14,323,7.9808
3.15,323,7.9897
3.15,323,7.9988
3.16,324,8.0082
3.16,323,8.0169
3.16,323,8.0257
3.17,323,8.0347
3.17,324,8.0439
3.17,323,8.0530
3.18,323,8.0617
3.18,323,8.0706
3.18,324,8.0797
3.19,324,8.0891
3.19,324,8.0977
3.19,324,8.1065
3.20,323,8.1155
3.20,324,8.1248
3.20,324,8.1338
3.21,324,8.1425
3.21,324,8.1514
3.22,324,8.1605
3.22,324,8.1698
3.22,324,8.1785
3.23,324,8.1873
3.23,324,8.1963
3.23,324,8.2056
3.24,324,8.2146
3.24,324,8.2233
3.24,324,8.2321
3.25,325,8.2412
3.25,325,8.2506
3.25,324,8.2592
3.26,325,8.2681
3.26,324,8.2770
3.26,324,8.2863
3.27,324,8.2953
3.27,325,8.3040
3.28,324,8.3129
3.28,325,8.3220
3.28,325,8.3313
3.29,325,8.3400
3.29,325,8.3488
3.29,325,8.3578
3.30,325,8.3672
3.30,325,8.3761
3.30,325,8.3848
3.31,325,8.3938
3.31,325,8.4029
3.31,325,8.4122
3.32,325,8.4209
3.32,325,8.4296
3.32,325,8.4387
3.33,325,8.4480
3.33,325,8.4569
3.34,325,8.4656
3.34,325,8.4746
3.34,325,8.4837
3.35,325,8.4930
3.35,325,8.5016
3.35,325,8.5104
3.36,325,8.5195
3.36,326,8.5288
3.36,326,8.5377
3.37,326,8.5464
3.37,325,8.5553
3.37,326,8.5645
3.38,326,8.5737
3.38,325,8.5824
3.38,326,8.5913
3.39,326,8.6002
3.39,326,8.6096
3.40,326,8.6184
3.40,326,8.6272
3.40,326,8.6362
3.41,325,8.6454
